"Temperature","Light","Time","Replicate"
"21","HL",20,4
"21","HL",20,5
"21","HL",20,6
"21","HL",40,1
"21","HL",40,2
"21","HL",40,3
"21","HL",40,4
"21","HL",40,5
"21","HL",40,6
"21","HL",60,1
"21","HL",60,2
"21","HL",60,3
"21","HL",60,4
"21","HL",60,5
"21","HL",60,6
"21","HL",80,1
"21","HL",80,2
"21","HL",80,3
"21","HL",80,4
"21","HL",80,5
"21","HL",80,6
"21","HL",100,1
"21","HL",100,2
"21","HL",100,3
"21","HL",100,4
"21","HL",100,5
"21","HL",100,6
"21","HL",120,1
"21","HL",120,2
"21","HL",120,3
"21","HL",120,4
"21","HL",120,5
"21","HL",120,6
"21","HL",140,1
"21","HL",140,2
"21","HL",140,3
"21","HL",140,4
"21","HL",140,5
"21","HL",140,6
"21","HL",160,1
"21","HL",160,2
"21","HL",160,3
"21","HL",160,4
"21","HL",160,5
"21","HL",160,6
"21","HL",180,1
"21","HL",180,2
"21","HL",180,3
"21","HL",180,4
"21","HL",180,5
"21","HL",180,6
"21","HL",200,1
"21","HL",200,2
"21","HL",200,3
"21","HL",200,4
"21","HL",200,5
"21","HL",200,6
"21","HL",220,1
"21","HL",220,2
"21","HL",220,3
"21","HL",220,4
"21","HL",220,5
"21","HL",220,6
"21","HL",240,1
"21","HL",240,2
"21","HL",240,3
"21","HL",240,4
"21","HL",240,5
"21","HL",240,6
"21","HL",260,1
"21","HL",260,2
"21","HL",260,3
"21","HL",260,4
"21","HL",260,5
"21","HL",280,1
"21","HL",280,2
"21","HL",280,3
"21","HL",280,4
"21","HL",280,5
"21","HL",280,6
"21","HL",300,1
"21","HL",300,2
"21","HL",300,3
"21","HL",300,4
"21","HL",300,5
"21","HL",300,6
"21","HL",320,1
"21","HL",320,2
"21","HL",320,3
"21","HL",320,4
"21","HL",320,5
"21","HL",320,6
"21","HL",340,1
"21","HL",340,2
"21","HL",340,3
"21","HL",340,4
"21","HL",340,5
"21","HL",340,6
"21","HL",360,1
"21","HL",360,2
"21","HL",360,3
"21","HL",360,4
"21","HL",360,5
"21","HL",360,6
"21","HL",640,1
"21","HL",640,2
"21","HL",640,3
"21","HL",640,4
"21","HL",640,5
"21","HL",640,6
"21","HL",1280,1
"21","HL",1280,2
"21","HL",1280,3
"21","HL",1280,4
"21","HL",1280,5
"21","HL",1280,6
